NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Peru, IN Micro Area",838,260,62,291,534,3175,332,1634,14952,357520,13966,5029,33281,16009,29280,37940,,msa,37940,,2024
"Petoskey, MI Micro Area",1112,289,232,272,615,3488,300,6789,21979,293405,14740,2870,33625,17446,28781,37950,,msa,37950,,2024
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1480,68597,48503,67881,211658,818726,47227,156496,2624257,71567035,2495957,705061,6119775,3347276,5091473,37980,,msa,37980,,2024
"Phoenix-Mesa-Chandler, AZ Metro Area",1702,56451,44923,61969,149059,632407,35363,176372,2068985,50963575,1927852,543008,4941271,2585403,4038654,38060,,msa,38060,,2024
"Picayune, MS Micro Area",906,229,244,368,891,4291,672,3562,25442,758410,21425,9273,56204,25804,46025,38100,,msa,38100,,2024
"Pierre, SD Micro Area",985,168,117,158,280,2250,282,996,9539,150930,9961,1692,19813,10664,16313,38180,,msa,38180,,2024
"Pikeville, KY Micro Area",773,541,288,573,1893,10086,2901,7565,46549,742790,28560,23135,89748,32665,75014,38210,,msa,38210,,2024
"Pine Bluff, AR Micro Area",880,1111,496,784,1557,9687,1241,7318,34266,592680,25553,12134,66500,29846,58624,38220,,msa,38220,,2024
"Pinehurst-Southern Pines, NC Metro Area",1254,978,734,847,1887,10392,1281,6267,50280,1059975,39802,10410,103328,48308,84413,38240,,msa,38240,,2024
"Pittsburg, KS Micro Area",849,599,428,474,1399,6210,487,2288,18126,319965,18015,7695,37333,20441,31387,38260,,msa,38260,,2024
"Pittsburgh, PA Metro Area",1053,25049,16290,22081,63653,311321,26321,112444,1174149,25276880,978226,263456,2377066,1272248,2036451,38300,,msa,38300,,2024
"Pittsfield, MA Metro Area",1097,1660,1330,1752,3856,17322,1397,12419,70004,1130325,53394,14169,123990,67495,111519,38340,,msa,38340,,2024
"Plainview, TX Micro Area",821,302,308,215,1118,4872,454,3008,15984,296295,15314,7119,35319,16999,28654,38380,,msa,38380,,2024
"Platteville, WI Micro Area",813,445,388,450,1162,6025,563,2372,22332,474660,22529,6242,48068,26660,42075,38420,,msa,38420,,2024
"Plattsburgh, NY Micro Area",1003,758,551,680,2360,10283,804,4102,37658,671105,32961,10003,73050,38187,66158,38460,,msa,38460,,2024
"Plymouth, IN Micro Area",938,252,248,149,589,4197,449,2353,20111,460555,20619,5332,45640,22912,36418,38500,,msa,38500,,2024
"Pocatello, ID Metro Area",960,630,745,903,2418,10237,481,2578,36168,645645,36585,10667,86711,44048,69771,38540,,msa,38540,,2024
"Ponca City, OK Micro Area",842,315,441,341,737,5167,525,4137,20913,336670,17769,6773,42333,19988,34044,38620,,msa,38620,,2024
"Ponce, PR Metro Area",533,1921,1118,1466,4326,30955,14221,27147,133534,1932225,78033,124878,266441,97592,230349,38660,,msa,38660,,2024
"Pontiac, IL Micro Area",880,290,172,215,510,3755,398,1315,15930,328345,15204,3529,33560,17315,28792,38700,,msa,38700,,2024
"Poplar Bluff, MO Micro Area",780,454,579,535,1123,5868,516,2709,19303,341435,16231,8439,41159,18332,33320,38740,,msa,38740,,2024
"Port Angeles, WA Micro Area",1152,787,563,1098,1992,9209,614,3567,38613,493285,25561,8093,76500,31774,66814,38820,,msa,38820,,2024
"Portland-South Portland, ME Metro Area",1485,6219,4702,4915,12766,64276,4735,47589,287616,6021415,239538,42023,549610,314633,474497,38860,,msa,38860,,2024
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1724,35562,25933,37046,94124,387297,15586,52230,1062495,24751240,989113,236906,2487633,1377322,2070411,38900,,msa,38900,,2024
"Port Lavaca, TX Micro Area",891,336,155,325,203,1971,157,2163,10833,178195,9171,1503,19612,10537,15911,38920,,msa,38920,,2024
"Port St. Lucie, FL Metro Area",1580,4180,2850,4512,13668,43272,3769,38013,243267,5589730,192456,61696,515065,239711,437794,38940,,msa,38940,,2024
"Portsmouth, OH Micro Area",742,809,584,670,2194,9115,1523,4206,33070,715565,25633,15092,69371,29116,58769,39020,,msa,39020,,2024
"Port Townsend, WA Micro Area",1522,332,53,508,509,3424,508,3194,19534,197855,9303,3669,33076,13278,30274,39040,,msa,39040,,2024
"Pottsville, PA Micro Area",876,985,593,1010,2429,13863,1977,9307,67295,1603750,58842,17389,136339,68606,118651,39060,,msa,39060,,2024
"Prescott Valley-Prescott, AZ Metro Area",1351,1877,1655,2161,5932,27716,2555,14938,126095,1937835,82338,29082,241492,102666,212797,39150,,msa,39150,,2024
"Price, UT Micro Area",870,343,113,156,569,2604,246,1546,9669,153230,7863,3438,20210,9066,16003,39220,,msa,39220,,2024
"Providence-Warwick, RI-MA Metro Area",1307,23658,14280,19974,58537,248744,13322,55562,730957,19431550,731152,182805,1629576,909898,1397710,39300,,msa,39300,,2024
"Provo-Orem-Lehi, UT Metro Area",1534,5762,3960,5378,12806,65014,3138,8266,215146,6396270,283097,60758,701849,370763,516900,39340,,msa,39340,,2024
"Pueblo, CO Metro Area",1111,1474,1732,1383,5707,21324,1683,5123,73646,1425580,65091,23987,164306,75857,136833,39380,,msa,39380,,2024
"Pullman, WA Micro Area",1049,447,607,814,3702,9956,950,3370,22091,339945,20604,9271,40910,25228,40428,39420,,msa,39420,,2024
"Punta Gorda, FL Metro Area",1464,1415,1211,1661,3942,14665,1454,28137,118679,1617905,60125,17669,196637,78049,180544,39460,,msa,39460,,2024
"Putnam, CT Micro Area",1155,892,595,545,1321,8959,756,2324,41736,1241735,42857,7151,95380,53298,80946,39480,,msa,39480,,2024
"Quincy, IL-MO Micro Area",808,473,475,538,1593,8533,833,3522,34622,595920,33651,9245,72113,38676,60173,39500,,msa,39500,,2024
"Racine-Mount Pleasant, WI Metro Area",1080,1585,1089,2104,4668,23284,1356,5252,85658,2053720,85836,19848,192435,101726,158064,39540,,msa,39540,,2024
"Raleigh-Cary, NC Metro Area",1573,18680,12954,16149,41012,191714,8482,44737,619032,15176815,567322,126752,1461543,814378,1183168,39580,,msa,39580,,2024
"Rapid City, SD Metro Area",1140,2468,1085,1353,2800,18128,1336,7054,69843,1390735,69429,15163,148370,80355,124059,39660,,msa,39660,,2024
"Raymondville, TX Micro Area",809,209,33,99,307,1437,265,1194,6885,142275,7233,4393,18332,8823,15930,39700,,msa,39700,,2024
"Reading, PA Metro Area",1181,4074,2827,4556,11310,46902,3128,8344,171580,4656105,183509,51396,420373,224959,349775,39740,,msa,39740,,2024
"Red Bluff, CA Micro Area",1184,667,453,944,1989,8148,926,2739,27527,521050,22274,10025,64435,27567,51339,39780,,msa,39780,,2024
"Redding, CA Metro Area",1317,2279,1960,2204,5618,24538,1930,8836,80068,1336775,67508,23705,178431,82345,146829,39820,,msa,39820,,2024
"Red Wing, MN Micro Area",966,400,270,372,842,4179,397,1440,21167,502905,21145,4363,47029,24948,38667,39860,,msa,39860,,2024
"Reno, NV Metro Area",1592,8054,5695,8578,19858,85601,3507,20706,245639,5681170,243516,59664,555548,298467,461008,39900,,msa,39900,,2024
"Rexburg, ID Micro Area",1002,1120,476,793,1581,8771,416,5975,23955,523940,29441,11900,56474,37301,56106,39940,,msa,39940,,2024
