place_id,place_name,hpi_type,hpi_flavor,yr,avg_index_nsa,quarters_available,NAME,median_income,total_pop,median_age,bachelors_count,masters_count,total_occupied_units,owner_occupied_units,median_home_value,cbsa_code,year,homeownership_rate
12420,"Austin-Round Rock-San Marcos, TX",traditional,all-transactions,2024,509.21250000000003,4,"Austin-Round Rock-San Marcos, TX Metro Area",100431,2426592,36.0,531649,236077,989434,576470,465000,12420,2024,0.5826260265970241
12540,"Bakersfield-Delano, CA",traditional,all-transactions,2014,181.595,4,"Bakersfield, CA Metro Area",48574,857730,31.0,51067,17956,257737,147334,161800,12540,2014,0.5716447386289124
12540,"Bakersfield-Delano, CA",traditional,all-transactions,2019,223.26999999999998,4,"Bakersfield, CA Metro Area",53350,887641,31.6,58968,20953,270282,157554,213900,12540,2019,0.5829245010766533
12540,"Bakersfield-Delano, CA",traditional,all-transactions,2024,350.905,4,"Bakersfield-Delano, CA Metro Area",70210,915075,32.7,69245,26410,284931,171133,338300,12540,2024,0.6006120780118696
12580,"Baltimore-Columbia-Towson, MD",traditional,all-transactions,2014,207.685,4,"Baltimore-Columbia-Towson, MD Metro Area",70311,2753396,38.2,385227,210380,1032863,686405,277600,12580,2014,0.6645653876651598
12580,"Baltimore-Columbia-Towson, MD",traditional,all-transactions,2019,233.25,4,"Baltimore-Columbia-Towson, MD Metro Area",81598,2796733,38.4,433703,246522,1049909,698615,298500,12580,2019,0.6654052875058696
12580,"Baltimore-Columbia-Towson, MD",traditional,all-transactions,2024,328.405,4,"Baltimore-Columbia-Towson, MD Metro Area",99470,2849436,39.0,465808,292937,1120269,749584,391300,12580,2024,0.6691107225139676
12620,"Bangor, ME",traditional,all-transactions,2014,176.42000000000002,4,"Bangor, ME Metro Area",44543,153627,40.8,16180,6405,62215,41918,137700,12620,2014,0.6737603471831551
12620,"Bangor, ME",traditional,all-transactions,2019,201.88,4,"Bangor, ME Metro Area",50808,151774,42.0,18842,7730,62156,43123,144700,12620,2019,0.6937866014544051
12620,"Bangor, ME",traditional,all-transactions,2024,352.5075,4,"Bangor, ME Metro Area",66356,154710,42.5,20331,8885,65221,46010,214100,12620,2024,0.7054476318977017
12700,"Barnstable Town, MA",traditional,all-transactions,2014,257.59000000000003,4,"Barnstable Town, MA Metro Area",61597,215167,50.8,37716,20087,94371,74245,362800,12700,2014,0.7867353318286338
12700,"Barnstable Town, MA",traditional,all-transactions,2019,317.5375,4,"Barnstable Town, MA Metro Area",74336,213496,53.3,41225,22640,94323,75287,393500,12700,2019,0.7981828398163756
12700,"Barnstable Town, MA",traditional,all-transactions,2024,542.6675,4,"Barnstable Town, MA Metro Area",95241,231668,55.4,47512,29705,105777,85753,629000,12700,2024,0.8106960870510602
12940,"Baton Rouge, LA",traditional,all-transactions,2014,192.785,4,"Baton Rouge, LA Metro Area",51829,814805,34.5,93989,30983,299156,204029,158600,12940,2014,0.682015403334715
12940,"Baton Rouge, LA",traditional,all-transactions,2019,224.525,4,"Baton Rouge, LA Metro Area",58912,854318,35.6,100136,36666,308531,212985,181700,12940,2019,0.690319611319446
12940,"Baton Rouge, LA",traditional,all-transactions,2024,285.4475,4,"Baton Rouge, LA Metro Area",69599,875313,36.2,106950,47239,332585,229860,241100,12940,2024,0.691131590420494
12980,"Battle Creek, MI",traditional,all-transactions,2014,142.785,4,"Battle Creek, MI Metro Area",43199,135150,40.0,11714,4660,52842,36908,97100,12980,2014,0.6984595586843798
12980,"Battle Creek, MI",traditional,all-transactions,2019,181.3475,4,"Battle Creek, MI Metro Area",48607,134212,39.8,12525,5242,53991,37743,110000,12980,2019,0.699060954603545
12980,"Battle Creek, MI",traditional,all-transactions,2024,289.1825,4,"Battle Creek, MI Metro Area",63177,133778,40.2,13769,5633,53333,38747,162800,12980,2024,0.7265107906924418
13020,"Bay City, MI",traditional,all-transactions,2014,138.42,4,"Bay City, MI Metro Area",45715,107074,42.3,9499,3292,43712,34145,93300,13020,2014,0.7811356149341142
13020,"Bay City, MI",traditional,all-transactions,2019,162.9575,4,"Bay City, MI Metro Area",48819,104104,43.4,9689,3594,44339,34037,102000,13020,2019,0.7676537585421412
13020,"Bay City, MI",traditional,all-transactions,2024,268.75,4,"Bay City, MI Metro Area",61763,103008,43.9,11358,4166,45103,34745,152200,13020,2024,0.7703478704299049
13140,"Beaumont-Port Arthur, TX",traditional,all-transactions,2014,173.7425,4,"Beaumont-Port Arthur, TX Metro Area",44845,404741,36.9,31403,9173,149713,102905,95500,13140,2014,0.6873484600535692
13140,"Beaumont-Port Arthur, TX",traditional,all-transactions,2019,213.7625,4,"Beaumont-Port Arthur, TX Metro Area",54016,395174,36.9,34237,10384,145308,97408,114500,13140,2019,0.6703553830484212
13140,"Beaumont-Port Arthur, TX",traditional,all-transactions,2024,291.815,4,"Beaumont-Port Arthur, TX Metro Area",64659,396827,37.7,36012,11867,149466,101933,173600,13140,2024,0.6819811863567634
13220,"Beckley, WV",traditional,all-transactions,2014,191.655,4,"Beckley, WV Metro Area",38606,124536,41.5,9338,3824,48730,36447,86900,13220,2014,0.7479376154319721
13220,"Beckley, WV",traditional,all-transactions,2019,193.9575,4,"Beckley, WV Metro Area",42817,118828,43.2,9441,4170,48644,36369,101800,13220,2019,0.7476564427267495
13220,"Beckley, WV",traditional,all-transactions,2024,287.3725,4,"Beckley, WV Metro Area",52620,112714,43.4,10361,4362,44952,34236,129600,13220,2024,0.7616123865456487
13380,"Bellingham, WA",traditional,all-transactions,2014,202.7,4,"Bellingham, WA Metro Area",53025,204855,36.5,28409,9950,79837,50008,273000,13380,2014,0.6263762415922441
13380,"Bellingham, WA",traditional,all-transactions,2019,300.605,4,"Bellingham, WA Metro Area",62984,220821,37.3,32227,12314,86523,53580,345700,13380,2019,0.6192573073055719
13380,"Bellingham, WA",traditional,all-transactions,2024,470.005,4,"Bellingham, WA Metro Area",81784,230503,38.4,38558,16257,94021,59904,585800,13380,2024,0.6371342572404037
13460,"Bend, OR",traditional,all-transactions,2014,216.2225,4,"Bend-Redmond, OR Metro Area",49584,163141,41.4,23323,9357,64917,42175,243400,13460,2014,0.6496757397908098
13460,"Bend, OR",traditional,all-transactions,2019,337.1175,4,"Bend, OR Metro Area",67043,186251,42.4,30445,12409,74397,49809,364600,13460,2019,0.6695028025323602
13460,"Bend, OR",traditional,all-transactions,2024,548.4325,4,"Bend, OR Metro Area",89788,257814,43.0,49072,20080,104529,73771,602600,13460,2024,0.705746730572377
13740,"Billings, MT",traditional,all-transactions,2014,216.2275,4,"Billings, MT Metro Area",51481,162892,38.9,22803,5944,66009,45601,187100,13740,2014,0.6908300383281067
13740,"Billings, MT",traditional,all-transactions,2019,253.74,4,"Billings, MT Metro Area",61278,179071,39.5,27044,8106,74670,51900,227900,13740,2019,0.6950582563278425
13740,"Billings, MT",traditional,all-transactions,2024,395.925,4,"Billings, MT Metro Area",77194,189255,39.9,31225,9113,78371,55456,355200,13740,2024,0.7076086817828023
13780,"Binghamton, NY",traditional,all-transactions,2014,170.4175,4,"Binghamton, NY Metro Area",48290,249261,40.6,24021,14584,99616,68367,108800,13780,2014,0.6863054127850947
13780,"Binghamton, NY",traditional,all-transactions,2019,180.0825,4,"Binghamton, NY Metro Area",54295,241874,40.8,25322,15403,98579,66598,117600,13780,2019,0.6755799916817984
13780,"Binghamton, NY",traditional,all-transactions,2024,273.97,4,"Binghamton, NY Metro Area",64590,245242,40.3,27049,16961,102352,69011,156000,13780,2024,0.6742516023135845
13820,"Birmingham, AL",traditional,all-transactions,2014,160.2175,4,"Birmingham-Hoover, AL Metro Area",48438,1135534,38.1,133142,52861,435724,303258,144000,13820,2014,0.6959864501381609
13820,"Birmingham, AL",traditional,all-transactions,2019,198.9375,4,"Birmingham-Hoover, AL Metro Area",57447,1085330,38.5,146273,57595,417562,287678,165200,13820,2019,0.6889467911352086
