vintage,cbsa_code,county_fips
2014,30460,21113
2014,30460,21209
2014,30460,21239
2014,30580,20175
2014,30620,39003
2014,30660,17107
2014,30700,31109
2014,30700,31159
2014,30780,05045
2014,30780,05053
2014,30780,05085
2014,30780,05105
2014,30780,05119
2014,30780,05125
2014,30820,42035
2014,30860,16041
2014,30860,49005
2014,30880,54045
2014,30900,18017
2014,30940,21121
2014,30940,21125
2014,30940,21235
2014,30980,48183
2014,30980,48401
2014,30980,48459
2014,31020,53015
2014,31060,35028
2014,31080,06037
2014,31080,06059
2014,31084,06037
2014,31140,18019
2014,31140,18043
2014,31140,18061
2014,31140,18143
2014,31140,18175
2014,31140,21029
2014,31140,21103
2014,31140,21111
2014,31140,21185
2014,31140,21211
2014,31140,21215
2014,31140,21223
2014,31180,48107
2014,31180,48303
2014,31180,48305
2014,31220,26105
2014,31260,48005
2014,31300,37155
2014,31340,51009
2014,31340,51011
2014,31340,51019
2014,31340,51031
2014,31340,51515
2014,31340,51680
2014,31380,17109
2014,31420,13021
2014,31420,13079
2014,31420,13169
2014,31420,13207
2014,31420,13289
2014,31460,06039
2014,31500,18077
2014,31540,55021
2014,31540,55025
2014,31540,55045
2014,31540,55049
2014,31580,21107
2014,31620,05027
2014,31660,36033
2014,31680,05059
2014,31700,33011
2014,31740,20149
2014,31740,20161
2014,31820,55071
2014,31860,27013
2014,31860,27103
2014,31900,39139
2014,31930,39167
2014,31940,26109
2014,31940,55075
2014,31980,18053
2014,32000,37111
2014,32020,39101
2014,32100,26103
2014,32140,27083
2014,32180,29195
2014,32220,48203
2014,32260,19127
2014,32280,47183
2014,32300,51089
2014,32300,51690
2014,32340,29147
2014,32380,19033
2014,32380,19195
2014,32420,72067
2014,32420,72097
2014,32460,21083
2014,32500,21161
2014,32540,40121
2014,32580,48215
2014,32620,28005
2014,32620,28113
2014,32660,47177
2014,32700,20113
2014,32740,42039
2014,32780,41029
2014,32820,05035
2014,32820,28009
2014,32820,28033
2014,32820,28093
2014,32820,28137
2014,32820,28143
2014,32820,47047
2014,32820,47157
2014,32820,47167
2014,32860,55033
2014,32900,06047
2014,32940,28023
2014,32940,28069
2014,32940,28075
2014,32980,55069
2014,33020,29007
2014,33060,40115
2014,33100,12011
2014,33100,12086
2014,33100,12099
2014,33124,12086
2014,33140,18091
2014,33180,21013
2014,33220,26111
2014,33260,48317
2014,33260,48329
2014,33300,13009
2014,33300,13141
2014,33340,55079
2014,33340,55089
2014,33340,55131
2014,33340,55133
2014,33420,48363
2014,33460,27003
2014,33460,27019
2014,33460,27025
2014,33460,27037
2014,33460,27053
2014,33460,27059
2014,33460,27079
2014,33460,27095
2014,33460,27123
2014,33460,27139
2014,33460,27141
2014,33460,27143
2014,33460,27163
2014,33460,27171
2014,33460,55093
2014,33460,55109
2014,33500,38049
2014,33500,38075
2014,33500,38101
2014,33540,30063
2014,33580,46035
2014,33580,46061
2014,33620,29175
2014,33660,01097
2014,33700,06099
