cbsa_code,name,cbsa_type,land_sqmi,lat,lon
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1,1587.308,29.1789,-81.189023
19740,"Denver-Aurora-Centennial, CO Metro Area",1,8344.691,39.434789,-104.901073
19760,"DeRidder, LA Micro Area",2,1157.478,30.645018,-93.340253
19780,"Des Moines-West Des Moines, IA Metro Area",1,3612.657,41.57705,-93.759712
19820,"Detroit-Warren-Dearborn, MI Metro Area",1,3892.357,42.721848,-83.200846
19940,"Dixon, IL Micro Area",2,724.769,41.747447,-89.299362
20020,"Dothan, AL Metro Area",1,1716.203,31.245528,-85.46919
20100,"Dover, DE Metro Area",1,586.061,39.097088,-75.502982
20180,"DuBois, PA Micro Area",2,1145.06,41.006862,-78.477724
20260,"Duluth, MN-WI Metro Area",1,8413.584,47.329703,-92.37627
20340,"Duncan, OK Micro Area",2,870.212,34.481361,-97.855607
20460,"Durant, OK Micro Area",2,904.348,33.964004,-96.265135
20500,"Durham-Chapel Hill, NC Metro Area",1,1758.914,35.995536,-79.09699
20660,"Easton, MD Micro Area",2,268.556,38.748349,-76.178476
20700,"East Stroudsburg, PA Micro Area",2,608.361,41.05624,-75.329065
20740,"Eau Claire, WI Metro Area",1,1646.278,44.938672,-91.284322
20780,"Edwards, CO Micro Area",2,1684.47,39.626992,-106.695169
20900,"El Campo, TX Micro Area",2,1086.144,29.27848,-96.229674
21020,"Elizabeth City, NC Micro Area",2,226.878,36.265199,-76.260691
21060,"Elizabethtown, KY Metro Area",1,884.944,37.651209,-85.887598
21120,"Elk City, OK Micro Area",2,901.675,35.270601,-99.690057
21140,"Elkhart-Goshen, IN Metro Area",1,463.158,41.600693,-85.863986
21300,"Elmira, NY Metro Area",1,407.333,42.148697,-76.752471
21340,"El Paso, TX Metro Area",1,5584.042,31.527394,-105.521333
21460,"Enterprise, AL Micro Area",2,678.986,31.402258,-85.989602
21500,"Erie, PA Metro Area",1,798.901,42.117952,-80.096386
21580,"Espa̱ola, NM Micro Area",2,5860.874,36.509669,-106.693983
21780,"Evansville, IN Metro Area",1,1027.416,38.049142,-87.584519
21900,"Fairmont, WV Micro Area",2,308.785,39.505839,-80.243402
21980,"Fallon, NV Micro Area",2,4950.157,39.53771,-118.264166
22020,"Fargo, ND-MN Metro Area",1,2810.111,46.914859,-96.960183
22060,"Faribault-Northfield, MN Micro Area",2,495.845,44.350775,-93.298513
22100,"Farmington, MO Micro Area",2,451.886,37.810707,-90.473868
22180,"Fayetteville, NC Metro Area",1,1042.719,35.037956,-78.982209
22190,"Fayetteville, TN Micro Area",2,570.342,35.142784,-86.593403
22300,"Findlay, OH Micro Area",2,531.324,41.000217,-83.665947
22420,"Flint, MI Metro Area",1,636.944,43.021077,-83.706372
22520,"Florence-Muscle Shoals, AL Metro Area",1,1260.97,34.799254,-87.719388
22620,"Forrest City, AR Micro Area",2,634.784,35.022838,-90.751506
22800,"Fort Madison, IA Micro Area",2,517.55,40.647588,-91.477157
22840,"Fort Payne, AL Micro Area",2,777.077,34.460915,-85.804021
23060,"Fort Wayne, IN Metro Area",1,1360.855,41.006999,-85.216424
23140,"Frankfort, IN Micro Area",2,405.067,40.305944,-86.477567
23180,"Frankfort, KY Micro Area",2,410.169,38.121449,-84.933167
23190,"Franklin, KY Micro Area",2,234.175,36.740929,-86.581787
23240,"Fredericksburg, TX Micro Area",2,1058.203,30.325093,-98.94185
23300,"Freeport, IL Micro Area",2,564.247,42.349726,-89.665994
23340,"Fremont, NE Micro Area",2,528.844,41.577008,-96.645852
23380,"Fremont, OH Micro Area",2,408.245,41.355319,-83.142776
23420,"Fresno, CA Metro Area",1,8095.291,36.879404,-119.668488
23500,"Gaffney, SC Micro Area",2,392.96,35.049796,-81.607647
23540,"Gainesville, FL Metro Area",1,2343.596,29.453355,-82.666257
23580,"Gainesville, GA Metro Area",1,392.469,34.317569,-83.8185
23620,"Gainesville, TX Micro Area",2,874.826,33.639196,-97.210343
23820,"Gardnerville Ranchos, NV-CA Micro Area",2,1448.878,38.73469,-119.714259
23900,"Gettysburg, PA Metro Area",1,518.576,39.869437,-77.21775
23980,"Glasgow, KY Micro Area",2,777.016,36.967571,-85.815497
24020,"Glens Falls, NY Metro Area",1,1698.412,43.44045,-73.636757
24100,"Gloversville, NY Micro Area",2,495.46,43.115609,-74.423678
24180,"Granbury, TX Micro Area",2,420.74,32.430149,-97.831677
24330,"Grand Rapids, MN Micro Area",2,2667.516,47.490817,-93.611102
24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",1,3242.204,42.979841,-85.715614
24420,"Grants Pass, OR Metro Area",1,1638.649,42.386983,-123.57162
24540,"Greeley, CO Metro Area",1,3984.958,40.555961,-104.383666
24580,"Green Bay, WI Metro Area",1,1870.023,44.474024,-87.99613
24600,"Greencastle, IN Micro Area",2,480.536,39.665548,-86.853373
24620,"Greeneville, TN Micro Area",2,622.169,36.179487,-82.847523
24640,"Greenfield, MA Micro Area",2,699.209,42.584504,-72.591792
24660,"Greensboro-High Point, NC Metro Area",1,1993.965,36.025204,-79.792633
24700,"Greensburg, IN Micro Area",2,372.568,39.30598,-85.499831
24780,"Greenville, NC Metro Area",1,652.366,35.59249,-77.372739
24820,"Greenville, OH Micro Area",2,598.102,40.131467,-84.621191
24860,"Greenville-Anderson-Greer, SC Metro Area",1,2709.598,34.683709,-82.413423
24940,"Greenwood, SC Micro Area",2,946.801,34.190755,-82.296677
25020,"Guayama, PR Metro Area",1,126.651,17.979155,-66.069473
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",1,1008.005,39.554433,-77.984594
25220,"Hammond, LA Metro Area",1,791.18,30.621348,-90.40649
