Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202399,194,12220,C,Auburn-Opelika  AL ,1359,1359,390970,15,30,2912,3,9,3749,1,5,1100,1359,1359,390970,15,30,2912,3,9,3749,1,5,1100
202399,194,17980, ,Columbus  GA-AL ,579,579,154406,3,6,378,1,4,401,7,50,5150,563,563,151197,3,6,378,1,4,401,7,50,5150
202399,198,18140, ,Columbus  OH ,5364,5364,1953471,67,134,22674,68,236,36891,184,5706,641134,4913,4913,1777791,65,130,21674,68,236,36891,182,5694,639671
202399,204,18580, ,Corpus Christi  TX ,1780,1780,440786,1,2,180,0,0,0,3,69,5128,393,393,92522,1,2,180,0,0,0,0,0,0
202399,206,19100, ,Dallas-Fort Worth-Arlington  TX ,44366,44366,12977710,463,926,131087,129,422,63493,465,22315,3084389,42730,42730,12477629,440,880,125976,92,291,51625,433,21058,2946508
202399,206,43300, ,Sherman-Denison  TX ,1162,1162,331002,13,26,4298,0,0,0,58,1259,167907,878,878,258369,12,24,4073,0,0,0,58,1259,167907
202399,209,19340, ,Davenport-Moline-Rock Island  IA-IL ,366,366,99630,8,16,3205,20,75,14070,8,157,11561,317,317,90974,3,6,1580,18,69,13570,2,127,8415
202399,212,19430, ,Dayton-Kettering  OH ,1120,1120,462403,5,10,1214,23,88,10213,27,548,74629,866,866,373798,1,2,200,22,85,9915,15,287,42968
202399,212,44220, ,Springfield  OH ,107,107,35198,0,0,0,17,68,7010,1,40,2608,107,107,35198,0,0,0,17,68,7010,1,40,2608
202399,216,14500, ,Boulder  CO ,791,791,498949,8,16,3849,14,48,11190,49,787,158133,754,754,463126,5,10,2852,12,42,9559,36,568,99383
202399,216,19740,C,Denver-Aurora-Lakewood  CO ,9012,9012,2902528,82,164,45211,31,112,22525,286,11362,2017438,8843,8843,2856099,82,164,45211,31,112,22525,281,11294,2006868
202399,216,24540, ,Greeley  CO ,2447,2447,821575,34,68,12523,28,104,22934,65,1008,153444,2222,2222,759363,29,58,10776,25,95,21516,61,947,144492
202399,218,11180, ,Ames  IA ,167,167,59470,2,4,1060,24,83,18791,1,8,1186,143,143,52752,2,4,1060,24,83,18791,1,8,1186
202399,218,19780, ,Des Moines-West Des Moines  IA ,3689,3689,1319089,23,46,10816,17,64,15618,40,1201,190831,3669,3669,1312809,23,46,10816,17,64,15618,40,1201,190831
202399,220,11460, ,Ann Arbor  MI ,485,485,183121,14,28,4839,1,4,540,67,1080,407422,386,386,154587,14,28,4839,1,4,540,67,1080,407422
202399,220,19820, ,Detroit-Warren-Dearborn  MI ,4541,4541,1532508,110,220,19568,47,173,37254,120,1800,238742,4203,4203,1448878,110,220,19568,44,164,35150,120,1800,238742
