Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202599,209,34700,5,Muscatine  IA ,41,41,12079,5,10,1452,1,3,825,1,65,6682,41,41,12079,5,10,1452,1,3,825,1,65,6682
202599,212,19430,2,Dayton-Kettering-Beavercreek  OH ,1309,1309,470581,4,8,1393,44,137,15876,38,532,72256,1300,1300,467665,2,4,690,41,128,14981,23,242,37076
202599,212,24820,5,Greenville  OH ,55,55,25276,0,0,0,1,3,312,0,0,0,55,55,25276,0,0,0,1,3,312,0,0,0
202599,212,43380,5,Sidney  OH ,87,87,34403,4,8,640,5,20,1750,8,192,10400,87,87,34403,4,8,640,5,20,1750,8,192,10400
202599,212,44220,2,Springfield  OH ,225,225,68716,0,0,0,1,4,424,5,158,23467,225,225,68716,0,0,0,1,4,424,5,158,23467
202599,212,46500,5,Urbana  OH ,45,45,16438,0,0,0,0,0,0,0,0,0,45,45,16438,0,0,0,0,0,0,0,0,0
202599,216,14500,2,Boulder  CO ,428,428,240138,12,24,6566,4,15,3146,39,1534,319736,373,373,219421,8,16,5074,3,12,2068,32,1283,272087
202599,216,19740,2,Denver-Aurora-Centennial  CO ,7477,7477,2719480,82,164,30809,32,112,22634,205,8195,1518822,7244,7244,2649759,81,162,30366,31,109,22196,183,7528,1408993
202599,216,24540,2,Greeley  CO ,2011,2011,768435,0,0,0,0,0,0,72,982,164885,2011,2011,768435,0,0,0,0,0,0,72,982,164885
202599,218,11180,2,Ames  IA ,199,199,73780,6,12,1500,7,24,4173,22,157,19965,187,187,70068,6,12,1500,7,24,4173,22,157,19965
202599,218,19780,2,Des Moines-West Des Moines  IA ,3426,3426,1325916,65,130,22018,5,18,3551,57,2675,492420,3396,3396,1317626,65,130,22018,5,18,3551,56,2668,491596
202599,218,36820,5,Oskaloosa  IA ,12,12,4013,3,6,948,0,0,0,2,48,6901,12,12,4013,3,6,948,0,0,0,2,48,6901
202599,218,37800,5,Pella  IA ,255,255,62867,0,0,0,0,0,0,2,84,13011,255,255,62867,0,0,0,0,0,0,2,84,13011
202599,220,10300,5,Adrian  MI ,169,169,54366,0,0,0,1,4,350,1,11,2063,76,76,34645,0,0,0,1,4,350,0,0,0
202599,220,11460,2,Ann Arbor  MI ,532,532,247677,3,6,2005,4,16,3549,10,534,187694,526,526,245542,3,6,2005,4,16,3549,8,493,174270
202599,220,19820,2,Detroit-Warren-Dearborn  MI ,4859,4859,1716612,229,458,25112,71,265,48067,106,3223,466052,4564,4564,1618777,229,458,25112,68,256,46311,106,3223,466052
202599,220,22420,2,Flint  MI ,366,366,108840,7,14,2800,0,0,0,10,64,16205,310,310,91917,7,14,2800,0,0,0,1,6,150
202599,220,33780,2,Monroe  MI ,177,177,53494,5,10,1575,1,4,600,0,0,0,119,119,38022,5,10,1575,1,4,600,0,0,0
202599,221,19940,5,Dixon  IL ,24,24,7788,0,0,0,2,8,1510,0,0,0,24,24,7788,0,0,0,2,8,1510,0,0,0
202599,221,44580,5,Sterling  IL ,23,23,8549,0,0,0,0,0,0,0,0,0,23,23,8549,0,0,0,0,0,0,0,0,0
202599,222,20020,2,Dothan  AL ,454,454,130064,6,12,1350,1,4,615,8,120,11213,421,421,123067,6,12,1350,1,4,615,8,120,11213
202599,222,21460,5,Enterprise  AL ,198,198,51408,0,0,0,0,0,0,0,0,0,192,192,49166,0,0,0,0,0,0,0,0,0
202599,222,37120,5,Ozark  AL ,29,29,3904,0,0,0,0,0,0,0,0,0,26,26,3124,0,0,0,0,0,0,0,0,0
