NAME,B19013_001E,B01003_001E,B01002_001E,B15003_022E,B15003_023E,B25003_001E,B25003_002E,B25077_001E,metropolitan statistical area/micropolitan statistical area,year
"Kendallville, IN Micro Area",71723,47495,39.4,3877,1719,18179,14025,196800,28340,2024
"Kennett, MO Micro Area",47849,27493,39.7,1281,904,11257,7011,97600,28380,2024
"Kennewick-Richland, WA Metro Area",89010,311807,34.6,36025,16302,107936,73988,397900,28420,2024
"Kenosha, WI Metro Area",81239,168438,39.4,23543,9404,68904,45963,265500,28450,2024
"Kerrville, TX Micro Area",69395,53489,48.8,7540,3309,22615,15863,321200,28500,2024
"Ketchikan, AK Micro Area",92885,13768,41.0,1782,691,5732,3933,393300,28540,2024
"Key West-Key Largo, FL Micro Area",87738,81860,49.2,15099,6836,34405,22636,780600,28580,2024
"Kill Devil Hills, NC Micro Area",88994,37875,49.0,8675,2897,16836,13202,460400,28620,2024
"Killeen-Temple, TX Metro Area",69923,494360,32.8,53191,20002,177681,102945,234500,28660,2024
"Kingsland, GA Micro Area",74378,56970,34.7,5728,2574,21693,14706,261400,28680,2024
"Kingsport-Bristol, TN-VA Metro Area",57792,310842,45.7,35926,13897,130939,96974,198400,28700,2024
"Kingston, NY Metro Area",86271,182601,44.1,27981,18070,74278,51924,352500,28740,2024
"Kingsville, TX Micro Area",61292,30579,29.0,2518,1171,11853,6225,161300,28780,2024
"Kinston, NC Micro Area",45143,54919,41.9,3987,1820,23351,13826,120500,28820,2024
"Kirksville, MO Micro Area",61485,29339,31.5,2520,1613,10433,6613,162200,28860,2024
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",98233,704836,39.4,95998,59515,254883,174449,393600,28880,2024
"Klamath Falls, OR Micro Area",58830,70247,41.3,7087,2883,28999,20130,280400,28900,2024
"Knoxville, TN Metro Area",72422,932241,40.6,129474,57335,378234,266262,290200,28940,2024
"Kokomo, IN Metro Area",64027,83752,40.7,8024,3229,35593,25119,165000,29020,2024
"Laconia, NH Micro Area",92783,64659,48.4,10105,5264,26337,21097,374900,29060,2024
"La Crosse-Onalaska, WI-MN Metro Area",73340,170190,39.3,23796,9968,72055,48767,247400,29100,2024
